MagicID,Name,CasterType,Type,MagicItemID,Level,CastingTime,RangeOfSpell,Components,Duration,Saves,NOTES
23,Thaumaturgy,Cleric,Transmutation,0,0,"1 action","30 feet",V,"Up to 1 minute",-,"You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range:
Your voice booms up to three times as loud as normal for 1 minute.
You cause flames to flicker, brighten, dim, or change color for 1 minute.
You cause harmless tremors in the ground for 1 minute.
You create an instantaneous sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers.
You instantaneously cause an unlocked door or window to fly open or slam shut.
You alter the appearance of your eyes for 1 minute.
If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time, and you can dismiss such an effect as an action."
24,"Thorn Whip",Druid,Transmutation,0,0,"1 action","30 feet","V, S, M",Instantaneous,"Attack roll","Needed Material - the stem of a plant with thorns
You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you. This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
25,"True Strike","Bard, Sorcerer, Warlock, Wizard",Divination,0,0,"1 action","30 feet","S, C","Up to 1 round",-,"On your next turn, your first attack roll on the target has advantage."
26,"Vicious Mockery",Bard,Enchantment,0,0,"1 action","60 feet",V,Instantaneous,Wisdom,"You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (thought it need not understand you), it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn. This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4)."
27,Alarm,"Ranger, Wizard",Abjuration,0,1,"1 minute","30 Feet","V, S, M","8 Hours",-,"Ritual, Needed Material - Tiny Bell, Fine Silver Wire
Choose an area that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm.
You also choose whether the alarm is mental or audible. A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping. An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet."
28,"Animal Friendship","Bard, Druid, Ranger",Enchantment,0,1,"1 action","30 Feet","V, S, M","24 Hours",-,"Ritual, Needed Material - Morsel of Food.
Choose a beast that you can see. It must be able to see and hear you. If its Intelligence is 4 or higher, the spell fails. Otherwise, it must pass a Wisdom save or be charmed by you. If you or one of your companions harms it, the spell ends.
You can target one additional beast for each slot level above 1st."
29,"Armor of Agathys",Warlock,Abjuration,0,1,"1 action",Self,"V, S, M","1 hour",-,"Needed Material - A cup of water
A protective magical force surrounds you, manifesting as a spectral frost that covers you and your gear. You gain 5 temporary hit points for the duration. If a creature hits you with a melee attack while you have these hit points, the creature takes 5 cold damage. When you cast this spell using a spell slot of 2nd level or higher, both the temporary hit points and the cold damage increase by 5 for each slot"
30,"Arms of Hadar",Warlock,Conjuration,0,1,"1 action","Self (10ft radius)","V, S",Instantaneous,Strength,"Tendrils batter all creatures within 10 feet of you. They must make a Strength save. On a fail, a target takes 2d6 necrotic damage and can't take reactions until its next turn. On a success, it takes half damage and suffers no other effects. The damage increases by 1d6 for each slot level above 1st."
31,Bane,"Bard, Cleric",Enchantment,0,1,"1 action","30 feet","V, S, M, C","Up to 1 minute",Charisma,"Needed Material - Blood
Up to three creatures you can see must make Charisma saving throws. If a target fails, whenever they make an attack roll or saving throw before the spell ends, they must roll a d4 and subtract the number rolled. You can target one additional creature for each slot level above 1st."
32,Bless,"Cleric, Paladin",Enchantment,0,1,"1 action","30 feet","V, S, M, C","Up to 1 minute",-,"Needed Material - Holy water
You bless up to three creatures of your choice. Whenever a target makes an attack roll or a saving throw, it can add a 1d4 to it. You can target one additional creature for each slot level above 1st."
33,"Burning Hands","Sorcerer, Wizard",Evocation,0,1,"1 action","Self (15-foot-cone)","V, S",Instantaneous,Dexterity,"As you hold your hands with thumbs touching and fingers spread, a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a 15-foot cone must make a Dexterity saving throw. A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one. The fire ignites any flammable objects in the area that aren't being worn or carried. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
34,"Charm Person","Bard, Druid, Socerers, Warlock, Wizard",Enchantment,0,1,"1 action","30 feet","V, S","1 hour",Wisdom,"You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throw, and does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it.The charmed creature regards you as a friendly acquaintance. When the spell ends, the creature knows it was charmed by you. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them."
35,"Chromatic Orb","Sorcerer, Wizard",Evocation,0,1,"1 action","90 Feet","V, S, M",Instantaneous,"Attack roll","You hurl a 4-inch-diameter sphere of energy at a creature that you can see within range. You choose acid, cold, fire, lightning, poison, or thunder for the type of orb you create, and then make a ranged spell attack against the target. If the attack hits, the creature takes 3d8 damage of the type you chose. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st."
36,"Color Spray","Sorcerer, Wizard",Illusion,0,1,"1 action","Self (15-foot-cone)","V, S, M","1 round",-,"A dazzling array of flashing, colored light springs from your hand. Roll 6d10, the total is how many hit points of creatures this spell can effect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can't see). Starting with the creature that has the lowest current hit points, each creature affected by this spell is blinded until the spell ends. Subtract each creature's hit points from the total before moving on to the creature with the next lowest hit points. A creature's hit points must be equal to or less than the remaining total for the creature to be affected. When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d10 for each slot level above 1st."
37,Command,"Cleric, Paladin",Enchantment,0,1,"1 action","60 Feet",V,"1 round",Wisdom,"You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn't understand your language, or if your command is directly harmful to it. Some typical commands and their effects follow. You might issue a command other than one described here. If you do so, the DM determines how the target behaves. If the target can't follow your command, the spell ends. Approach - The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you. Drop - The target drops whatever it is holding and then ends its turn. Flee - The target spends its turn moving away from you by the fastest available means. Grovel - The target falls prone and then ends its turn. Halt - The target doesn't move and takes no actions. A flying creature stays aloft, provided that it is able to do so. If it must move to stay aloft, it flies the minimum distance needed to remain in the air. When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them"
38,"Compelled Duel",Paladin,Enchantment,0,1,"1 bonus action","30 Feet","V, C","Up to 1 Minute",Wisdom,"You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed save, the creature is drawn to you, compelled by your divine demand. For the duration, it has disadvantage on attack rolls against creatures other than you, and must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from you; if it succeeds on this saving throw, this spell doesn't restrict the target's movement for that turn. The spell ends if you attack any other creature, if you cast a spell that targets a hostile creature other than the target, if a creature friendly to you damages the target or casts a harmful spell on it, or if you end your turn more than 30 feet away from the target."
39,"Comprehend Languages","Bard, Sorcerer, Warlock, Wizard",Divination,0,1,"1 action",Self,"V, S, M","1 hour",-,"Ritual, Needed Material - Soot, salt
You understand any spoken language that you hear while the spell lasts. While touching the surface where words are written, you can also understand any written language you see. One page of text can be read in approximately 1 minute. Secret codes in text and glyphs that aren't part of any written language can't be decoded with this spell."
40,"Create or Destroy Water","Cleric, Druid",Transmutation,0,1,"1 action","30 Feet","V, S, M",Instantaneous,-,"Needed Material - A drop of water if creating water or a few grains of sand if destroying it
You either create or destroy water. Create Water - You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed flames in the area. Destroy Water - You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range. When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st."
41,"Cure Wounds","Bard, Cleric, Druid, Paladin, Ranger",Evocation,0,1,"1 action",Touch,"V, S",Instantaneous,-,"A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st."
42,"Detect Evil and Good","Cleric, Paladin",Divination,0,1,"1 action",Self,"V, S, C","Up to 10 minutes",-,"For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated. The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt."
43,"Detect Magic","Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard",Divination,0,1,"1 action",Self,"V, S, C","Up to 10 minutes",-,"Ritual, An aura forms around objects or creatures you can see, indicating that it is magical. It must be within 30 feet. You also learn its school of magic, if it has one. This spell can't detect magic through 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt."
44,"Detect Poison and Disease","Cleric, Druid, Paladin, Ranger",Divination,0,1,"1 action",Self,"V, S, M, C","Up to 10 minutes",-,"Ritual, Needed Material - Yew Leaf
If they exist or appear within 30 feet, you sense the presence of poisons, poisonous creatures, and diseases. Their location and type also become known to you. This spell is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt."
45,"Disguise Self","Bard, Sorcerer, Wizard",Illusion,0,1,"1 action",Self,"V, S","1 hour",-,"You make yourself - including your clothing, armor, weapons, and other belongings on your person - look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you. The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of som eone who reaches out to touch you would bump into you while it was seemingly still in midair. To discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save DC."
46,"Dissonant Whispers",Bard,Enchantment,0,1,"1 action","60 feet",V,Instantaneous,Wisdom,"You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a Wisdom saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction , if available, to move as far as its speed allows away from you. The creature doesn't move into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesn't have to move away. A deafened creature automatically succeeds on the save. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st"
47,"Divine Favor",Paladin,Evocation,0,1,"1 bonus action",Self,"V, S, C","Up to 1 minute",-,"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal and extra 1d4 radiant damage on a hit."
48,"Ensnaring Strike",Ranger,Conjuration,0,1,"1 bonus action",Self,"V, C","Up to 1 Minute",Strength,"The next time you hit a creature with a weapon attack before this spell ends, a writhing mass of thorny vines appears at the point of impact, and the target must succeed on a Strength saving throw or be restrained by the magical vines until the spell ends. A Large or larger creature has advantage on this saving throw. If the target succeeds on the save, the vines shrivel away. While restrained by this spell, the target takes 1d6 piercing damage at the start of each of its turns. A creature restrained by the vines or one that can touch the creature can use its action to make a Strength check against your spell save DC. On a success, the target is freed. If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
49,Entangle,Druid,Conjuration,0,1,"1 action","90 Feet","V, S, C","Up to 1 Minute",Strength,"Grasping weeds and vines sprout from the ground in a 20-foot square starting from a point within range. For the duration, these plants turn the ground in the area into difficult terrain. A creature in the area when you cast the spell must succeed on a Strength saving throw or be restrained by the entangling plants until the spell ends. A creature restrained by the plants can use its action to make a Strength check against your spell save DC. On a success, it frees itself. When the spell ends, the conjured plants wilt away."
50,"Expeditious Retreat","Sorcerer, Warlock, Wizard",Transmutation,0,1,"1 bonus action",Self,"V, S, C","Up to 10 minutes",-,"This spell allows you to move at an incredible pace. When you cast this spell, and then as a bonus action on each of your turns until the spell ends, you can take the Dash action."
51,"Faerie Fire","Bard, Druid",Evocation,0,1,"1 action","60 Feet","V, C","Up to 1 Minute",Dexterity,"Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius. Any attack roll against an affected creature or object has advantage if the attacker can see it, and the affected creature or object can't benefit from being invisible."
52,"False Life","Sorcerer, Wizard",Necromancy,0,1,"1 action",Self,"V, S, M","1 Hour",-,"Needed Material - A small amount of alcohol or distilled spirits
Bolstering yourself with a necromantic facsimile of life, you gain 1d4 + 4 temporary hit points for the duration. When you cast this spell using a spell slot of 2nd level or higher, you gain 5 additional temporary hit points for each slot level above 1st."
53,"Feather Fall","Bard, Sorcerer, Wizard",Transmutation,0,1,"1 reaction",Special,"V, M","1 minute",-,"Needed Material - A small feather or piece of down
Reaction: When you or a creature within 60 feet of you falls. Choose up to five falling creatures within range. A falling creature's rate of descent slows to 60 feet per round until the spell ends. If the creature lands before the spell ends, it takes no falling damage and can land on its feet, and the spell ends for that creature."
54,"Find Familiar",Wizard,Conjuration,0,1,"1 hour","10 Feet","V, S, M",Instantaneous,-,"Ritual, Needed Material - 10gp charcoal, incense, herbs; consumed by brass brazier's fire
An animal becomes your familiar, obeying your commands, though it is still an independent creature. It has the appearance and statistics of the animal form you choose. You can choose from the animals: bat, cat, crab, toad, hawk, lizard, octopus, owl, poisonous snake, fish (quipper), rat, raven, sea horse, spider, or weasel, but the familiar's type must be chosen from celestial, fey, or fiend. While you are within 100 feet of your familiar you can telepathically communicate with it, and as an action you can see and hear what it does until the start of your next turn. If your familiar has any special senses, you also gain the benefits of those senses while you are seeing or hearing through it. While doing so, your body is blind and deaf. You can also cast spells with a range of touch through your familiar as if it has cast them itself, but you must be within 100 feet of it and the familiar uses its reaction to cast the spell. Otherwise the spell is cast as if you had done so yourself. When initiative is rolled, the familiar also rolls, but it can't make an attack. It can take other actions, but if its hit points fall to 0, it disappears until you cast this spell again. You can dismiss the familiar permanently any time you choose, as an action, or you can temporarily dismiss it to a pocket dimension. You can recall your familiar from the pocket dimension, also as an action, to reappear in any unoccupied space within 30 feet of you. If you try to cast this spell when you already have a familiar, you can choose for it to take a new form, but you cannot have more than one."
55,"Fog Cloud","Druid, Ranger, Sorcerer, Wizard",Conjuration,0,1,"1 action","120 Feet","V, S, C","Up to 1 Hour",-,"You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around corners, and its area is heavily obscured, It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it. When you cast this spell using a spell slot of 2nd level or higher, the radius of the fog increases by 20 feet for each slot level above 1st."
56,Goodberry,"Druid, Ranger",Transmutation,0,1,"1 action",Touch,"V, S, M",Instantaneous,-,"Needed Material - A sprig of Mistletoe
Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for one day.
The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell."
57,Grease,Wizard,Conjuration,0,1,"1 action","60 Feet","V, S, M","1 minute",Dexterity,"Needed Material - a bit of pork rind or butter
Slick grease covers the ground in a 10-foot square centered on a point within range and turns it into difficult terrain for the duration. When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or fall prone. A creature that enters the area or ends its turn there must also succeed on a Dexterity saving throw or fall prone."
58,"Guiding Bolt",Cleric,Evocation,0,1,"1 action","120 feet","V, S","1 Round","Attack roll","A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
59,"Hail of Thorns",Ranger,Conjuration,0,1,"1 bonus action",Self,"V, C","Up to 1 Minute",Dexterity,"The next time you hit a creature with a ranged weapon attack before the spell ends, this spell creates a rain of thorns that sprouts from your ranged weapon or ammunition. In addition to the normal effect of the attack, the target of the attack and each creature within 5 feet of it must make a Dexterity saving throw. A creature takes 1d10 piercing damage on a failed save, or half as much damage on a successful one. If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st (to a maximum of 6d10)."
60,"Healing Word","Bard, Cleric, Druid",Evocation,0,1,"1 bonus action","60 feet",V,Instantaneous,-,"A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs. When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st."
61,"Hellish Rebuke",Warlock,Evocation,0,1,"1 reaction","60 feet","V, S",Instantaneous,Dexterity,"Reaction: you are being damaged by a creature within 60 feet of you that you can see. You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a Dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st."
62,Heroism,"Bard, Paladin",Enchantment,0,1,"1 action",Touch,"V, S, C","Up to 1 Minute",-,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st."
63,Hex,Warlock,Enchantment,0,1,"1 bonus action","90 Feet","V, S, M, C","Up to 1 Hour",-,"Needed Material - The petrified eye of a Newt
You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 necrotic damage to the target whenever you hit it with an attack. Also, choose one ability when you cast the spell. The target has disadvantage on ability checks made with the chosen ability. If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to curse a new creature. A remove curse cast on the target ends this spell early. When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours."
64,"Hunter's Mark",Ranger,Divination,0,1,"1 bonus action","90 Feet","V, C","Up to 1 Hour",-,"You choose a creature you can see within range and mystically mark it as your quarry. Until the spell ends, you deal an extra 1d6 damage to the target whenever you hit it with a weapon attack, and you have advantage on any Wisdom (Perception) or Wisdom (Survival) check you make to find it. If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to mark a new creature. When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours."
