Name,Race,TypeOfName
Caramip,Gnome,Female Name
Carlin,Gnome,Female Name
Donella,Gnome,Female Name
Duvamil,Gnome,Female Name
Ella,Gnome,Female Name
Ellyjobell,Gnome,Female Name
Ellywick,Gnome,Female Name
Lilli,Gnome,Female Name
Loopmottin,Gnome,Female Name
Lorilla,Gnome,Female Name
Mardnab,Gnome,Female Name
Nissa,Gnome,Female Name
Nyx,Gnome,Female Name
Oda,Gnome,Female Name
Orla,Gnome,Female Name
Roywyn,Gnome,Female Name
Shamil,Gnome,Female Name
Tana,Gnome,Female Name
Waywocket,Gnome,Female Name
Zanna,Gnome,Female Name
Alston,Gnome,Male Name
Alvyn,Gnome,Male Name
Boddynock,Gnome,Male Name
Brocc,Gnome,Male Name
Burgell,Gnome,Male Name
Dimble,Gnome,Male Name
Eldon,Gnome,Male Name
Erky,Gnome,Male Name
Fonkin,Gnome,Male Name
Frug,Gnome,Male Name
Gerbo,Gnome,Male Name
Gimble,Gnome,Male Name
Glim,Gnome,Male Name
Jebeddo,Gnome,Male Name
Kellen,Gnome,Male Name
Namfoodle,Gnome,Male Name
Orryn,Gnome,Male Name
Roondar,Gnome,Male Name
Seebo,Gnome,Male Name
Sindri,Gnome,Male Name
Warryn,Gnome,Male Name
Wrenn,Gnome,Male Name
Zook,Gnome,Male Name
Aleslosh,Gnome,Nickname
Ashhearth,Gnome,Nickname
Badger,Gnome,Nickname
Cloak,Gnome,Nickname
Doublelock,Gnome,Nickname
Filchbatter,Gnome,Nickname
Fnipper,Gnome,Nickname
Ku,Gnome,Nickname
Nim,Gnome,Nickname
Oneshoe,Gnome,Nickname
Pock,Gnome,Nickname
Sparklegem,Gnome,Nickname
Stumbleduck,Gnome,Nickname
Brushgather,Halfling,Family Name
Goodbarrel,Halfling,Family Name
Greenbottle,Halfling,Family Name
High-hill,Halfling,Family Name
Hilltopple,Halfling,Family Name
Leagallow,Halfling,Family Name
Tealeaf,Halfling,Family Name
Thorngage,Halfling,Family Name
Tosscobble,Halfling,Family Name
Underbough,Halfling,Family Name
Andry,Halfling,Female Name
Bree,Halfling,Female Name
Callie,Halfling,Female Name
Cora,Halfling,Female Name
Euphemia,Halfling,Female Name
Jillian,Halfling,Female Name
Kithri,Halfling,Female Name
Lavinia,Halfling,Female Name
Lidda,Halfling,Female Name
Merla,Halfling,Female Name
Nedda,Halfling,Female Name
Paela,Halfling,Female Name
Portia,Halfling,Female Name
Seraphina,Halfling,Female Name
Shaena,Halfling,Female Name
Trym,Halfling,Female Name
Vani,Halfling,Female Name
Verna,Halfling,Female Name
Alton,Halfling,Male Name
Ander,Halfling,Male Name
Cade,Halfling,Male Name
Corrin,Halfling,Male Name
Eldon,Halfling,Male Name
Errich,Halfling,Male Name
Finnan,Halfling,Male Name
Garret,Halfling,Male Name
Lindal,Halfling,Male Name
Lyle,Halfling,Male Name
Merric,Halfling,Male Name
Milo,Halfling,Male Name
Osborn,Halfling,Male Name
Perrin,Halfling,Male Name
Reed,Halfling,Male Name
Roscoe,Halfling,Male Name
Wellby,Halfling,Male Name
Pashar,Human,Calishite Surname
Basha,Human,Calishite Surname
Dumein,Human,Calishite Surname
Jassan,Human,Calishite Surname
Khalid,Human,Calishite Surname
Mostana,Human,Calishite Surname
Rein,Human,Calishite Surname
Amblecrown,Human,Chondathan Surname
Buckman,Human,Chondathan Surname
Dundragon,Human,Chondathan Surname
Evenwood,Human,Chondathan Surname
Greycastle,Human,Chondathan Surname
Tallstag,Human,Chondathan Surname
Bersk,Human,Damaran Surname
Chernin,Human,Damaran Surname
Dotsk,Human,Damaran Surname
Kulenov,Human,Damaran Surname
Marsk,Human,Damaran Surname
Nemetsk,Human,Damaran Surname
Shemov,Human,Damaran Surname
Starag,Human,Damaran Surname
Atala,Human,Female Calishite Name
Ceidil,Human,Female Calishite Name
Hama,Human,Female Calishite Name
Jasmal,Human,Female Calishite Name
Meilil,Human,Female Calishite Name
Seipora,Human,Female Calishite Name
Yasheira,Human,Female Calishite Name
Zasheida,Human,Female Calishite Name
Alethra,Human,Female Damaran Name
Kara,Human,Female Damaran Name
Katernin,Human,Female Damaran Name
Mara,Human,Female Damaran Name
Natali,Human,Female Damaran Name
Olma,Human,Female Damaran Name
Tana,Human,Female Damaran Name
Zora,Human,Female Damaran Name
Amafrey,Human,Female Illuskan Name
Betha,Human,Female Illuskan Name
Cefrey,Human,Female Illuskan Name
Kethra,Human,Female Illuskan Name
Mara,Human,Female Illuskan Name
Olga,Human,Female Illuskan Name
Silifrey,Human,Female Illuskan Name
Westra,Human,Female Illuskan Name
Arizima,Human,Female Mulan Name
Chathi,Human,Female Mulan Name
Murithi,Human,Female Mulan Name
Nephis,Human,Female Mulan Name
Nulara,Human,Female Mulan Name
Sefris,Human,Female Mulan Name
Thola,Human,Female Mulan Name
Umara,Human,Female Mulan Name
Zolis,Human,Female Mulan Name
Fyevarra,Human,Female Rashemi Name
Hulmarra,Human,Female Rashemi Name
Immith,Human,Female Rashemi Name
Imzel,Human,Female Rashemi Name
Navarra,Human,Female Rashemi Name
Shevarra,Human,Female Rashemi Name
Tammith,Human,Female Rashemi Name
Yuldra,Human,Female Rashemi Name
Bai,Human,Female Shou Name
Chao,Human,Female Shou Name
Jia,Human,Female Shou Name
Lei,Human,Female Shou Name
Mei,Human,Female Shou Name
Qiao,Human,Female Shou Name
Shui,Human,Female Shou Name
Tai,Human,Female Shou Name
Balama,Human,Female Turami Name
Dona,Human,Female Turami Name
Faila,Human,Female Turami Name
Jalana,Human,Female Turami Name
Luisa,Human,Female Turami Name
Marta,Human,Female Turami Name
Quara,Human,Female Turami Name
Selise,Human,Female Turami Name
Vonda,Human,Female Turami Name
Arveene,Human,FemaleChondathan Name
Esvele,Human,FemaleChondathan Name
Jhessail,Human,FemaleChondathan Name
Kerri,Human,FemaleChondathan Name
Lureene,Human,FemaleChondathan Name
Miri,Human,FemaleChondathan Name
Rowan,Human,FemaleChondathan Name
Shandri,Human,FemaleChondathan Name
Tessele,Human,FemaleChondathan Name
Brightwood,Human,Illuskan Surname
Helder,Human,Illuskan Surname
Hornraven,Human,Illuskan Surname
Lackman,Human,Illuskan Surname
Stormwind,Human,Illuskan Surname
Windrivver,Human,Illuskan Surname
Aseir,Human,Male Calishite Name
Bardeid,Human,Male Calishite Name
Haseid,Human,Male Calishite Name
Khemed,Human,Male Calishite Name
Mehmen,Human,Male Calishite Name
Sudeiman,Human,Male Calishite Name
Zasheir,Human,Male Calishite Name
Darvin,Human,Male Chondathan Name
Dorn,Human,Male Chondathan Name
Evendur,Human,Male Chondathan Name
Gorstag,Human,Male Chondathan Name
Grim,Human,Male Chondathan Name
Helm,Human,Male Chondathan Name
Malark,Human,Male Chondathan Name
Morn,Human,Male Chondathan Name
Randal,Human,Male Chondathan Name
Stedd,Human,Male Chondathan Name
Bor,Human,Male Damaran Name
Fodel,Human,Male Damaran Name
Glar,Human,Male Damaran Name
Grigor,Human,Male Damaran Name
Igan,Human,Male Damaran Name
Ivor,Human,Male Damaran Name
Kosef,Human,Male Damaran Name
Mival,Human,Male Damaran Name
Orel,Human,Male Damaran Name
Pavel,Human,Male Damaran Name
Sergor,Human,Male Damaran Name
Ander,Human,Male Illuskan Name
Blath,Human,Male Illuskan Name
Bran,Human,Male Illuskan Name
Frath,Human,Male Illuskan Name
Geth,Human,Male Illuskan Name
Lander,Human,Male Illuskan Name
Luth,Human,Male Illuskan Name
Malcer,Human,Male Illuskan Name
Stor,Human,Male Illuskan Name
Taman,Human,Male Illuskan Name
Urth,Human,Male Illuskan Name
Aoth,Human,Male Mulan Name
Bareris,Human,Male Mulan Name
Ehput-Ki,Human,Male Mulan Name
Kethoth,Human,Male Mulan Name
Mumed,Human,Male Mulan Name
Ramas,Human,Male Mulan Name
So-Kehur,Human,Male Mulan Name
Thazar-De,Human,Male Mulan Name
Urhur,Human,Male Mulan Name
Borivik,Human,Male Rashemi Name
Faurgar,Human,Male Rashemi Name
Jandar,Human,Male Rashemi Name
Kanithar,Human,Male Rashemi Name
Madislak,Human,Male Rashemi Name
Ralmevik,Human,Male Rashemi Name
Shaumar,Human,Male Rashemi Name
Vladislak,Human,Male Rashemi Name
An,Human,Male Shou Name
Chen,Human,Male Shou Name
Chi,Human,Male Shou Name
Fai,Human,Male Shou Name
Jiang,Human,Male Shou Name
Jun,Human,Male Shou Name
Lian,Human,Male Shou Name
Long,Human,Male Shou Name
Meng,Human,Male Shou Name
On,Human,Male Shou Name
Shan,Human,Male Shou Name
Shui,Human,Male Shou Name
Wen,Human,Male Shou Name
Anton,Human,Male Turami Name
Diero,Human,Male Turami Name
Marcon,Human,Male Turami Name
Pieron,Human,Male Turami Name
Rimardo,Human,Male Turami Name
Romero,Human,Male Turami Name
Salazar,Human,Male Turami Name
Umbero,Human,Male Turami Name
Ankhalab,Human,Mulan Surname
Anskuld,Human,Mulan Surname
Fezim,Human,Mulan Surname
Hahpet,Human,Mulan Surname
Nathandem,Human,Mulan Surname
Sepret,Human,Mulan Surname
Uuthrakt,Human,Mulan Surname
Chergoba,Human,Rashemi Surname
Dyernina,Human,Rashemi Surname
Iltazyara,Human,Rashemi Surname
Murnyethara,Human,Rashemi Surname
Stayanoga,Human,Rashemi Surname
Ulmokina,Human,Rashemi Surname
Sum,Human,Shou Surname
Chien,Human,Shou Surname
Huang,Human,Shou Surname
Kao,Human,Shou Surname
Kung,Human,Shou Surname
Lao,Human,Shou Surname
Ling,Human,Shou Surname
Mei,Human,Shou Surname
Pin,Human,Shou Surname
Shin,Human,Shou Surname
Tan,Human,Shou Surname
Wan,Human,Shou Surname
Agosto,Human,Turami Surname
Astorio,Human,Turami Surname
Calabra,Human,Turami Surname
Domine,Human,Turami Surname
Falone,Human,Turami Surname
Marivaldi,Human,Turami Surname
Pisacar,Human,Turami Surname
Ramondo,Human,Turami Surname
Baggi,Orc,Female Name
Emen,Orc,Female Name
Engong,Orc,Female Name
Kansif,Orc,Female Name
Myev,Orc,Female Name
Neega,Orc,Female Name
Ovak,Orc,Female Name
Ownka,Orc,Female Name
Shautha,Orc,Female Name
Sutha,Orc,Female Name
Vola,Orc,Female Name
Volen,Orc,Female Name
Yevelda,Orc,Female Name
Dench,Orc,Male Name
Feng,Orc,Male Name
Gell,Orc,Male Name
Henk,Orc,Male Name
Holg,Orc,Male Name
Imsh,Orc,Male Name
Keth,Orc,Male Name
Krusk,Orc,Male Name
Mhurren,Orc,Male Name
Ront,Orc,Male Name
Shump,Orc,Male Name
Thokk,Orc,Male Name
Akta,Tiefling,Female Name
Anakis,Tiefling,Female Name
Bryseis,Tiefling,Female Name
Criella,Tiefling,Female Name
Damaia,Tiefling,Female Name
Ea,Tiefling,Female Name
Kallista,Tiefling,Female Name
Lerissa,Tiefling,Female Name
Makaria,Tiefling,Female Name
Nemeia,Tiefling,Female Name
Orianna,Tiefling,Female Name
Phelaia,Tiefling,Female Name
Rieta,Tiefling,Female Name
Akmenos,Tiefling,Male Name
Amnon,Tiefling,Male Name
Barakas,Tiefling,Male Name
Damakos,Tiefling,Male Name
Ekemon,Tiefling,Male Name
Iados,Tiefling,Male Name
Kairon,Tiefling,Male Name
Leucis,Tiefling,Male Name
Melech,Tiefling,Male Name
Mordai,Tiefling,Male Name
Morthos,Tiefling,Male Name
Pelaios,Tiefling,Male Name
Skamos,Tiefling,Male Name
Therai,Tiefling,Male Name
Art,Tiefling,Virtue Name
Carrion,Tiefling,Virtue Name
Chant,Tiefling,Virtue Name
Creed,Tiefling,Virtue Name
Despair,Tiefling,Virtue Name
Excellence,Tiefling,Virtue Name
Fear,Tiefling,Virtue Name
Glory,Tiefling,Virtue Name
Hope,Tiefling,Virtue Name
Ideal,Tiefling,Virtue Name
Music,Tiefling,Virtue Name
Nowhere,Tiefling,Virtue Name
Open,Tiefling,Virtue Name
Poetry,Tiefling,Virtue Name
Quest,Tiefling,Virtue Name
Random,Tiefling,Virtue Name
Reverence,Tiefling,Virtue Name
Sorrow,Tiefling,Virtue Name
Temerity,Tiefling,Virtue Name
Torment,Tiefling,Virtue Name
Weary,Tiefling,Virtue Name
