EquipmentID,Name,Cost,Weight,MagicItemID,NOTES
24,Caltrop,5 cp,0.1,0,"As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
25,Caltrops (20),1 gp,2,0,"As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
26,Candle,1 cp,0,0,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet."
27,Case - crossbow bolt,1 gp,1,0,This wooden case can hold up to twenty crossbow bolts.
28,Case - map or scroll,1 gp,1,0,This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.
29,Chain (1 foot),5 sp,1,0,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.
30,Chain (10 feet),5 gp,10,0,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.
31,Chalk,1 cp,0,0,Can be used to write on surfaces
32,Chest,5 gp,25,0,12 cubic feet/300 pounds of gear
33,Climber's Kit,25 gp,12,0,"A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor."
34,Common Clothes,5 sp,3,0,Everyday clothes
35,Component Pouch,25 gp,2,0,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description)."
36,Costume Clothes,5 gp,4,0,Clothes that can be used when wanting to wear a costume.
37,Crossbow bolt,5 cp,0.075,0,Needed to use a Crossbow.
38,Crossbow bolts (20),1 gp,1.5,0,Bundle of Bolts
39,Crowbar,2 gp,5,0,Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.
40,Crystal - Arcane Focus,10 gp,1,0,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10."
41,Diplomat's Pack,39 gp,46,0,"Includes a chest, 2 cases for maps and scrolls, a set of fine clothes, a bottle of ink, an ink pen, a lamp, 2 flasks of oil, 5 sheets of paper, a vial of perfume, sealing wax, and soap."
42,Dungeoneer's Pack,12 gp,61.5,0,"Includes a backpack, a crowbar, a hammer, 10 pitons, 10 torches, a tinderbox, 10 days of rations, and a waterskin. The pack also has 50 feet of hempen rope strapped to the side of it."
43,Emblem - Holy Symbol,5 gp,0,0,"A holy symbol is a representation of a god or pantheon. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter 10. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
44,Entertainer's Pack,40 gp,38,0,"Includes a backpack, a bedroll, 2 costumes, 5 candles, 5 days of rations, a waterskin, and a disguise kit."
45,Explorer's Pack,10 gp,59,0,"Includes a backpack, a bedroll, a mess kit, a tinderbox, 10 torches, 10 days of rations, and a waterskin. The pack also has 50 feet of hempen rope strapped to the side of it."
46,Fine Clothes,15 gp,6,0,Very fine clothes. You can look very fancy in these.
47,Fishing Tackle,1 gp,4,0,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
48,Flask,2 cp,1,0,1 pint liquid
49,Grappling Hook,2 gp,4,0,A hook that can be hitched into a suface.
50,Hammer,1 gp,3,0,A standard hammer.
51,Hammer - Sledge,2 gp,10,0,Very Large standard hammer.
52,Healer's kit,5 gp,3,0,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
53,Hempen Rope (1 foot),2 cp,0.2,0,Rope has 2 hit points and can be burst with a DC 17 Strength check.
54,Hempen Rope (50 feet),1 gp,10,0,Rope has 2 hit points and can be burst with a DC 17 Strength check.
55,Holy Water (flask),25 gp,1,0,"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage. A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot."
56,Hourglass,25 gp,1,0,Can be used to track a specific set of time (DM controls length)
57,Hunting trap,5 gp,25,0,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature."
58,Ink (1 ounce bottle),10 gp,0,0,Needed to write
59,Ink pen,2 cp,0,0,Needed to write
60,Iron Pot,1 gp,10,0,1 gallon liquid
61,Iron Spike ,1 sp,0.5,0,Small piece of hard metal
62,Iron Spikes (10),1 gp,5,0,Bag of Spikes
63,Jug,2 cp,4,0,1 gallon liquid
64,Ladder (10-foot),1 sp,25,0,Its a Ladder
65,Ladder (1-foot),1 cp,2.5,0,Its a Ladder
66,Lamp,5 sp,1,0,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
67,Lantern- bullseye,10 gp,2,0,"A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
68,Lanture - Hooded,5 gp,2,0,"A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
69,Lock,10 gp,1,0,"A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices."
70,Magnifying Glass,100 gp,0,0,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed."
71,Manacles,2 gp,6,0,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points."
72,Merchants's Scale,5 gp,3,0,"A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
73,Mess Kit,2 sp,1,0,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
74,Miner's Pick,2 gp,10,0,A pick that can be used to break up other objects.
75,Mirror - Steel,5 gp,0.5,0,A steel backed Mirror
76,Monster Hunter's Pack,33 gp,48.5,0,"Includes a chest, a crowbar, a hammer, 3 wooden stakes, a holy symbol, a flask of holy water, a set of manacles, a silver mirror, a flask of oil, a tinderbox, and 3 torches."
77,Oil (flask),1 sp,1,0,"Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn."
78,Orb - Arcane Focus,20 gp,3,0,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10."
79,Paper (one sheet),2 sp,0,0,A regular piece of paper
80,Parchment (one sheet),1 sp,0,0,A regular piece of parchment
81,perfume (vial),5 gp,0,0,A vial that make you smell different than you usually do.
82,Pitcher,2 cp,4,0,1 gallon liquid
83,Piton,5 cp,0.25,0,Used to get a liquid out of a wooden object.
84,Pole (1 foot),0.5 cp,0.7,0,Its a stick
85,Pole (10 foot),5 cp,7,0,Its a long stick
86,Portable Ram,4 gp,35,0,"You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check."
87,Potion of Healing,50 gp,0.5,0,A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action.
88,Pouch,5 sp,1,0,"A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section). 1/5 cubic foot/6 pounds of gear"
89,Priest's Pack,19 gp,25,0,"Includes a backpack, a blanket, 10 candles, a tinderbox, an alms box, 2 blocks of incense, a censer, vestments, 2 days of rations, and a waterskin."
90,Quiver,1 gp,1,0,A quiver can hold up to 20 arrows.
91,Rations (1 day),5 sp,2,0,"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts."
92,Reliquary - Holy Symbol,5 gp,2,0,"A holy symbol is a representation of a god or pantheon. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter 10. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
93,Robes,1 gp,4,0,It can be used to cover oneself.
94,Rod - Arcane Focus,10 gp,2,0,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10."
95,Sack,1 cp,0.5,0,1 cubic foot/30 pounds of gear
96,Scholar's Pack,40 gp,11,0,"Includes a backpack, a book of lore, a bottle of ink, an ink pen, 10 sheets of parchment, a little bag of sand, and a small knife."
97,Sealing Wax,5 sp,0,0,This is typically used to seal letters.
98,Shield,10 gp,6,27,This is an ordinary piece of equipment.
99,Shovel,2 gp,5,0,Can be used to dig dirt.
100,Signal whistle,5 cp,0,0,A loud whistle
101,Signet ring,5 gp,0,0,A ordinary ring.
102,Silk Rope (1 Foot),2 sp,0.1,0,Rope has 2 hit points and can be burst with a DC 17 Strength check.
103,Silk Rope (50 feet),10 gp,5,0,Rope has 2 hit points and can be burst with a DC 17 Strength check.
104,Sling bullet,0.2 cp,0.075,0,Needed to use a sling
105,Sling bullets (20),4 cp,1.5,0,Bag of bullets
106,Soap,2 cp,0,0,Used to clean the body.
107,Spellbook,50 gp,3,0,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
108,Sprig of mistletoe - Druidic Focus,1 gp,0,0,"A druid can use such an object as a spellcasting focus, as described in chapter 10."
109,Spyglass,1000 gp,1,0,Objects viewed through a spyglass are magnified to twice their size.
110,Staff - Arcane Focus,5 gp,4,0,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10."
111,Tankard,2 cp,1,0,1 pint liquid
112,Tinderbox,5 sp,1,0,"This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch—or anything else with abundant, exposed fuel—takes an action. Lighting any other fire takes 1 minute."
113,Torch,1 cp,1,0,"A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage."
114,Totem - Druidic Focus,1 gp,0,0,"A druid can use such an object as a spellcasting focus, as described in chapter 10."
115,Traveler's Clothes,2 gp,4,0,Clothes made spicifically for going long distances.
116,Two-person Tent,2 gp,20,0,"A simple and portable canvas shelter, a tent sleeps two."
117,Vial,1 gp,0,0,4 ounces liquid
118,Wand - Arcane Focus,10 gp,1,0,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10."
119,Waterskin,2 sp,1,0,Can hold upto 4 pints of water. (1 pint = 1 lbs)
120,Whetstone,1 cp,1,0,Used to sharpen metal weapons. Must have water to use effectively. (DM ruling)
121,Wooden Staff - Druidic Focus,5 gp,4,0,"A druid can use such an object as a spellcasting focus, as described in chapter 10."
122,Yew wand - Druidic Focus,10 gp,1,0,"A druid can use such an object as a spellcasting focus, as described in chapter 10."
